locality;caterpillar;plant
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria cf. hollandiae
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Choreutis lutescens;Psychotria cf. hollandiae
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Meekiaria purpurea;Psychotria sp.
Niksek;Mellea sp. AAI1456;Psychotria sp.
Yapsiei;Rhodoneura aurata;Macaranga tsonane
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Niksek;Meekiaria purpurea;Psychotria sp.
Yapsiei;Asota caricae;Ficus pachyrrhachis
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria cf. hollandiae
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria aff. ectasiphylla
Utai;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu1;Lambula sp. USNM5;"Syzygium cf. ""stipulare"""
Ohu2;Tipasa sp. GEOM158;"Syzygium cf. ""stipulare"""
Utai;Talanga excelsalis;Ficus copiosa
Wamangu;Addaea pusilla;Macaranga quadriglandulosa
Elem;Addaea pusilla;Macaranga cf. brachytricha
Elem;Addaea pusilla;Macaranga cf. brachytricha
Niksek;Choreutis basalis;Ficus hahliana
Niksek;Addaea nr. probolopsis;Macaranga clavata
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria cf. hollandiae
Utai;Dichomeris n. sp. nr. ochreoviridella;Macaranga tsonane
Ohu2;Asota caricae;Ficus hispidioides
Yapsiei;Brenthia JR39;Psychotria cf. hollandiae
Morox;Addaea nr. probolopsis;Macaranga fallacina
Yapsiei;Paraphomia disjuncta;Macaranga aleuritoides
Yapsiei;Paraphomia disjuncta;Macaranga aleuritoides
Yapsiei;Paraphomia disjuncta;Macaranga aleuritoides
Wanang;Choreutis cf. anthorma;Ficus phaeosyce
Yapsiei;Choreutis cf. anthorma;Macaranga tsonane
Ohu1;Agriophara sp. AAD4602;Macaranga quadriglandulosa
Niksek;Adoxophyes tripselia;"Syzygium cf. ""stipulare"""
Ohu1;Agrotera genuflexa;Syzygium sp.
Morox;Agrotera ignepictoides;Syzygium sp.
Wamangu;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Elem;Addaea pusilla;Macaranga aleuritoides
Elem;Addaea pusilla;Macaranga cf. brachytricha
Elem;Addaea pusilla;Macaranga aleuritoides
Niksek;Addaea pusilla;Macaranga hispida
Niksek;Addaea pusilla;Macaranga hispida
Elem;Addaea pusilla;Macaranga cf. brachytricha
Wamangu;Talanga excelsalis;Ficus copiosa
Wamangu;Addaea pusilla;Macaranga quadriglandulosa
Wamangu;Mellea rectiviata;Macaranga bifoveata
Morox;Addaea pusilla;Macaranga aleuritoides
Morox;Addaea pusilla;Macaranga cf. brachytricha
Wamangu;Addaea pusilla;Macaranga aleuritoides
Wamangu;Addaea pusilla;Macaranga quadriglandulosa
Wamangu;Addaea pusilla;Macaranga quadriglandulosa
Wamangu;Addaea pusilla;Macaranga quadriglandulosa
Wamangu;Addaea pusilla;Macaranga quadriglandulosa
Morox;Addaea pusilla;Macaranga quadriglandulosa
Morox;Addaea pusilla;Macaranga aleuritoides
Morox;Mellea hieroglyphica;Macaranga aleuritoides
Morox;Philiris sp. AAF6866;Macaranga cf. brachytricha
Morox;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Morox;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Morox;Addaea pusilla;Macaranga quadriglandulosa
Elem;Addaea pusilla;Macaranga aleuritoides
Niksek;Addaea pusilla;Macaranga tsonane
Niksek;Addaea pusilla;Macaranga hispida
Niksek;Addaea pusilla;Macaranga hispida
Yapsiei;Addaea pusilla;Macaranga tsonane
Utai;Pharambara splendida;Macaranga tsonane
Ohu2;Addaea nr. probolopsis;Macaranga cf. brachytricha
Ohu2;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Wamangu;Mellea nitida;Macaranga quadriglandulosa
Morox;Dichomeris sp. XXXX068;Macaranga aleuritoides
Elem;Addaea pusilla;Macaranga tsonane
Yapsiei;Cirrhochrista xanthographis;Ficus copiosa
Ohu2;Talanga sexpunctalis complex;Ficus copiosa
Ohu2;Talanga sexpunctalis complex;Ficus copiosa
Ohu1;Talanga excelsalis;Ficus copiosa
Utai;Meekiaria sp. AAA3379;Psychotria ramuensis
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Meekiaria sp. AAA3379;Psychotria ramuensis
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Ohu2;Adoxophyes tripselia;Macaranga clavata
Niksek;Addaea nr. probolopsis;Macaranga clavata
Morox;Addaea nr. probolopsis;Macaranga fallacina
Morox;Addaea nr. probolopsis;Macaranga fallacina
